,Location_site,Sample:regular,Date,Time,Nearest_USGS,Streamflow_cfs,Sample:wet,Weather,Air_temp_C,Water_level,Water_odor,Water_color,Observed_use,Water_temp_C,Conductivity_Scm,Comments,Bacteria_MPNper100ml,Nitrate_mgperL,latitude,longitude,accuracy,UTM_Northing,UTM_Easting,UTM_Zone,Water_class,Safe_uses
43,"['P-S-OAKD, Pomperaug, Oakdale Manor, Southbury']",['Regular sample'],2019-05-16,11:15:00,Pomperaug,245,['Wet'],['Sun with some clouds'],12.2,['Average'],['None'],['Silty'],"['Fishing', 'Boating']",12.4,99999,Slight haze but the bottom of the channel is visible,52.0,0.33,41.442867,-73.254958,4,4589390,645776,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
70,"['N-W-14355, Nonnewaug, Rt 47 Bridge, Woodbury']",['Regular sample'],2019-06-12,10:17:00,Nonnewaug,17.3,['Wet'],['Sunny'],9999,['Average'],['None'],['Clear'],['Fishing'],15.5,9999,Saw mink walking near river,613.0,.82,41.557827,-73.212074,4,4602227,649095,18T,2,"Danger ! Unsafe for swimming, boating, fishing or wading"
50,"['N-W-16274, Nonnewaug, Rt 61 Bridge, Woodbury']",['Regular sample'],2019-06-12,11:40:00,Nonnewaug,17.3,['Wet'],['Sun with some clouds'],19.4,['Average'],['None'],"['Clear', 'Green']",['Fishing'],16.8,99999,"Caught two baby fish and the water is clear, but has a green tint",461.0,0.66,41.599226,-73.173438,4,4606891,652220,18T,1,"('Boating', 'Fishing')"
26,"['P-S-15162, Pomperaug, Route 67 - Bennett Park, Southbury']",['Regular sample'],2019-06-12,16:25:55,Pomperaug,70.5,['Wet'],['Sun with some clouds'],19.4,['Average'],['None'],['Cloudy'],['Fishing'],20.0,99999,turbidity is noticable but slight and the bottom of the channel is visible,980.0,0.59,41.501085,-73.219115,4,4595915,648638,18T,2,"Danger ! Unsafe for swimming, boating, fishing or wading"
34,"['P-S-18395, Pomperaug, The Gym - Flood Bridge Rd, Southbury']",['Regular sample'],2019-06-12,15:45:41,Pomperaug,70.5,['Wet'],['Sun with some clouds'],19.4,['Average'],['None'],['Cloudy'],['Fishing'],19.5,99999,saw a blue heron upstream and the water is slightly turbid,727.0,0.73,41.468018,-73.232179,4,4592221,647622,18T,2,"Danger ! Unsafe for swimming, boating, fishing or wading"
23,"['P-W-15012, Pomperaug, Middle Quarter / South Pomperaug Ave, Woodbury']",['Regular sample'],2019-06-12,16:45:30,Pomperaug,70.5,['Wet'],['Sun with some clouds'],19.4,['Average'],['None'],['Cloudy'],['Fishing'],19.4,99999,deer tracks observed near the stream,770.0,0.64,41.52194,-73.206194,4,4598253,649668,18T,2,"Danger ! Unsafe for swimming, boating, fishing or wading"
30,"['P-S-15025, Pomperaug, Poverty Rd - Ewald Park - USGS Gauge, Southbury']",['Regular sample'],2019-06-12,16:05:28,Pomperaug,70.5,['Wet'],['Sun with some clouds'],19.4,['Average'],['None'],['Cloudy'],['Fishing'],19.5,99999,slight haze but the bottom of the channel is visible,866.0,0.75,41.481726,-73.22446,4,4593757,648236,18T,2,"Danger ! Unsafe for swimming, boating, fishing or wading"
42,"['P-S-OAKD, Pomperaug, Oakdale Manor, Southbury']",['Regular sample'],2019-06-12,14:22:00,Pomperaug,70.5,['Wet'],['Sun with some clouds'],19.4,['Average'],['None'],['Clear'],"['Boating', 'Fishing']",18.9,99999,Three baby deer on island drinking from river,178.0,0.71,41.442867,-73.254958,4,4589390,645776,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
46,"['N-W-16335, Nonnewaug, Mill Rd - USGS Gauge, Woodbury']",['Regular sample'],2019-06-12,11:55:00,Nonnewaug,17.3,['Wet'],['Sun with some clouds'],19.4,['Average'],['None'],['Clear'],['Fishing'],16.1,99999,,548.0,0.71,41.575249,-73.179866,4,4604218,651740,18T,1,"('Boating', 'Fishing')"
58,"['W-W-CHOH, Weekeepeemee, Chohees Trail,\tWoodbury']",['Duplicate'],2019-06-12,11:05:00,Weekeepeemee,19.1,['Wet'],['Sun with some clouds'],19.4,['Average'],['None'],['Clear'],['Fishing'],19.1,9999,Visible manure storage outside of the barn about 200 ft from the river with drainage swale going across the field,88.0,0.31,41.604553,-73.225085,4,4607393,647903,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
66,"['W-W-15530, Weekeepeemee, Jacks Bridge Rd, Woodbury']",['Regular sample'],2019-06-12,10:30:00,Weekeepeemee,19.1,['Wet'],['Sunny'],9999,['Average'],['None'],['Clear'],['Fishing'],14.9,9999,,80.0,0.35,41.557654,-73.215458,4,4602202,648813,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
38,"['P-S-15388, Pomperaug, Bent of the River, Southbury']",['Regular sample'],2019-06-12,15:07:00,Pomperaug,70.5,['Wet'],['Sun with some clouds'],19.4,['Average'],['None'],['Clear'],['Other'],19.4,99999,active construction site upstream at the bend where Transylvania Bk flows in -- culverts being updated to bridge.,326.0,0.69,41.468681,-73.258058,4,4592251,645460,18T,1,"('Boating', 'Fishing')"
54,"['W-B-15009, Weekeepeemee, Wood Creek Rd,\tBethlehem']",['Regular sample'],2019-06-12,11:15:00,Weekeepeemee,19.1,['Wet'],['Sunny'],19.4,['Average'],['None'],['Clear'],['Fishing'],17.8,99999,Trees have fallen and are blocking half of the river channel,68.0,0.32,41.638913,-73.224928,4,4611208,647838,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
62,"['W-W-16022, Weekeepeemee, Brushy Hill Rd, Woodbury']",['Regular sample'],2019-06-12,10:45:00,Weekeepeemee,19.1,['Wet'],['Sunny'],19.4,['Average'],['None'],['Clear'],['Fishing'],14.9,9999,,155.0,0.33,41.585621,-73.230662,4,4605281,647482,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
4,"['W-W-CHOH, Weekeepeemee, Chohees Trail,\tWoodbury']",['Duplicate'],2019-06-12,11:05:15,Weekeepeemee,19.1,['Wet'],['Sun with some clouds'],19.4,['Average'],['None'],['Clear'],['Fishing'],19.1,99999,Visible manure storage outside of the barn about 200 ft from the river with drainage swale going across the field,86.0,0.31,41.604553,-73.225085,4,4607393,647903,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
53,"['W-B-15009, Weekeepeemee, Wood Creek Rd,\tBethlehem']",['Regular sample'],2019-07-10,12:30:00,Weekeepeemee,7.94,['Dry'],['Sunny'],25.6,['Very low'],['None'],['Clear'],['Fishing'],19.8,99999,,30.0,0.34,41.638913,-73.224928,4,4611208,647838,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
33,"['P-S-18395, Pomperaug, The Gym - Flood Bridge Rd, Southbury']",['Regular sample'],2019-07-10,12:30:34,Pomperaug,24.5,['Dry'],['Sunny'],25.6,['Low'],['None'],['Green'],['Fishing'],21.5,99999,slight tea color but the channel is mostly clear,28.0,0.91,41.468018,-73.232179,4,4592221,647622,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
3,"['P-W-15012, Pomperaug, Middle Quarter / South Pomperaug Ave, Woodbury']",['Duplicate'],2019-07-10,10:38:40,Pomperaug,24.5,['Dry'],['Sunny'],25.6,['Low'],['None'],['Clear'],['Fishing'],22.5,99999,,62.0,0.76,41.52194,-73.206194,4,4598253,649668,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
37,"['P-S-15388, Pomperaug, Bent of the River, Southbury']",['Regular sample'],2019-07-10,11:55:44,Pomperaug,24.5,['Dry'],['Sunny'],25.6,['Low'],['None'],['Clear'],['Other'],21.0,99999,,45.0,0.88,41.468681,-73.258058,4,4592251,645460,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
65,"['W-W-15530, Weekeepeemee, Jacks Bridge Rd, Woodbury']",['Regular sample'],2019-07-10,11:20:00,Weekeepeemee,7.94,['Dry'],['Sunny'],9999,['Low'],['None'],['Clear'],['Fishing'],21.1,9999,,119.0,0.33,41.557654,-73.215458,4,4602202,648813,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
45,"['N-W-16335, Nonnewaug, Mill Rd - USGS Gauge, Woodbury']",['Regular sample'],2019-07-10,13:15:00,Nonnewaug,3.42,['Dry'],['Sunny'],25.6,['Low'],['None'],['Clear'],['Fishing'],22.2,99999,,124.0,0.77,41.575249,-73.179866,4,4604218,651740,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
25,"['P-S-15162, Pomperaug, Route 67 - Bennett Park, Southbury']",['Regular sample'],2019-07-10,13:15:06,Pomperaug,24.5,['Dry'],['Sunny'],25.6,['Low'],['None'],['Clear'],['Fishing'],22.0,99999,slight rotten egg odor,54.0,0.68,41.501085,-73.219115,4,4595915,648638,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
69,"['N-W-14355, Nonnewaug, Rt 47 Bridge, Woodbury']",['Regular sample'],2019-07-10,11:00:00,Nonnewaug,3.42,['Dry'],['Sunny'],9999,['Low'],['None'],['Clear'],['Fishing'],19.2,9999,,73.0,1.06,41.557827,-73.212074,4,4602227,649095,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
22,"['P-W-15012, Pomperaug, Middle Quarter / South Pomperaug Ave, Woodbury']",['Duplicate'],2019-07-10,10:38:08,Pomperaug,24.5,['Dry'],['Sunny'],25.6,['Low'],['None'],['Clear'],['Fishing'],22.5,99999,,68.0,0.76,41.52194,-73.206194,4,4598253,649668,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
57,"['W-W-CHOH, Weekeepeemee, Chohees Trail,\tWoodbury']",['Regular sample'],2019-07-10,12:15:00,Weekeepeemee,7.94,['Dry'],['Sunny'],25.6,['Low'],['None'],['Clear'],['Fishing'],22.1,9999,,107.0,0.33,41.604553,-73.225085,4,4607393,647903,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
49,"['N-W-16274, Nonnewaug, Rt 61 Bridge, Woodbury']",['Regular sample'],2019-07-10,13:00:00,Nonnewaug,3.42,['Dry'],['Sunny'],25.6,['Low'],['None'],['Clear'],['Fishing'],22.1,99999,,82.0,0.78,41.599226,-73.173438,4,4606891,652220,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
61,"['W-W-16022, Weekeepeemee, Brushy Hill Rd, Woodbury']",['Regular sample'],2019-07-10,11:55:00,Weekeepeemee,7.94,['Dry'],['Sunny'],25.6,['Low'],['None'],['Clear'],['Fishing'],20.1,9999,,138.0,0.33,41.585621,-73.230662,4,4605281,647482,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
29,"['P-S-15025, Pomperaug, Poverty Rd - Ewald Park - USGS Gauge, Southbury']",['Regular sample'],2019-07-10,12:50:25,Pomperaug,24.5,['Dry'],['Sunny'],25.6,['Low'],['Musky'],['Clear'],['Fishing'],21.0,99999,slight rotten egg smell,51.0,0.91,41.481726,-73.22446,4,4593757,648236,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
41,"['P-S-OAKD, Pomperaug, Oakdale Manor, Southbury']",['Regular sample'],2019-07-10,11:15:00,Pomperaug,24.5,['Dry'],['Sunny'],25.6,['Average'],['None'],['Tea'],"['Fishing', 'Boating']",22.5,99999,,44.0,0.77,41.442867,-73.254958,4,4589390,645776,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
52,"['W-B-15009, Weekeepeemee, Wood Creek Rd,\tBethlehem']",['Duplicate'],2019-08-14,11:18:00,Weekeepeemee,4.26,['Wet'],['Cloudy'],24.7,['Low'],['None'],['Clear'],['Fishing'],19.6,99999,,23.0,0.35,41.638913,-73.224928,4,4611208,647838,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
48,"['N-W-16274, Nonnewaug, Rt 61 Bridge, Woodbury']",['Regular sample'],2019-08-14,11:43:00,Nonnewaug,1.4,['Wet'],['Cloudy'],24.7,['Low'],['None'],['Clear'],['Fishing'],20.7,99999,,291.0,0.6,41.599226,-73.173438,4,4606891,652220,18T,1,"('Boating', 'Fishing')"
28,"['P-S-15025, Pomperaug, Poverty Rd - Ewald Park - USGS Gauge, Southbury']",['Regular sample'],2019-08-14,12:15:18,Pomperaug,12.6,['Wet'],['Cloudy'],24.7,['Low'],['None'],['Clear'],['Fishing'],20.5,99999,,152.0,0.98,41.481726,-73.22446,4,4593757,648236,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
40,"['P-S-OAKD, Pomperaug, Oakdale Manor, Southbury']",['Regular sample'],2019-08-14,10:20:00,Pomperaug,12.6,['Wet'],['Cloudy'],24.7,['Low'],['None'],['Tea'],"['Fishing', 'Boating']",22.8,99999,Pollen and leaf matter on water surface,105.0,0.67,41.442867,-73.254958,4,4589390,645776,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
36,"['P-S-15388, Pomperaug, Bent of the River, Southbury']",['Duplicate'],2019-08-14,11:05:34,Pomperaug,12.6,['Wet'],['Cloudy'],24.7,['Very low'],['None'],['Tea'],['Other'],21.2,99999,slightly earthy smell,108.0,0.96,41.468681,-73.258058,4,4592251,645460,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
32,"['P-S-18395, Pomperaug, The Gym - Flood Bridge Rd, Southbury']",['Regular sample'],2019-08-14,11:47:27,Pomperaug,12.6,['Wet'],['Cloudy'],24.7,['Low'],['None'],['Clear'],['Fishing'],21.4,99999,the water color is similar to a light tea,84.0,1.03,41.468018,-73.232179,4,4592221,647622,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
21,"['P-W-15012, Pomperaug, Middle Quarter / South Pomperaug Ave, Woodbury']",['Regular sample'],2019-08-14,12:54:52,Pomperaug,12.6,['Wet'],['Cloudy'],24.7,['Low'],['None'],['Clear'],['Fishing'],21.3,99999,slightly hazy water with a slight tea color,50.0,0.72,41.52194,-73.206194,4,4598253,649668,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
60,"['W-W-16022, Weekeepeemee, Brushy Hill Rd, Woodbury']",['Regular sample'],2019-08-14,10:51:00,Weekeepeemee,426,['Wet'],['Cloudy'],24.7,['Low'],['None'],['Clear'],['Fishing'],20.1,9999,,101.0,0.36,41.585621,-73.230662,4,4605281,647482,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
64,"['W-W-15530, Weekeepeemee, Jacks Bridge Rd, Woodbury']",['Regular sample'],2019-08-14,10:25:00,Weekeepeemee,4.26,['Wet'],['Sunny'],9999,['Low'],['None'],['Clear'],['Fishing'],20.6,9999,,62.0,0.47,41.557654,-73.215458,4,4602202,648813,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
68,"['N-W-14355, Nonnewaug, Rt 47 Bridge, Woodbury']",['Regular sample'],2019-08-14,10:15:00,Nonnewaug,1.4,['Wet'],['Sunny'],9999,['Low'],['Musky'],['Tea'],['Fishing'],19.0,9999,Nursery employees cut down vegetation growing on streambank and the water is similar to a light tea,91.0,1.08,41.557827,-73.212074,4,4602227,649095,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
2,"['W-B-15009, Weekeepeemee, Wood Creek Rd,\tBethlehem']",['Duplicate'],2019-08-14,11:18:24,Weekeepeemee,4.26,['Wet'],['Cloudy'],24.7,['Low'],['None'],['Clear'],['Fishing'],19.6,99999,,18.0,0.34,41.638913,-73.224928,4,4611208,647838,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
1,"['P-S-15388, Pomperaug, Bent of the River, Southbury']",['Duplicate'],2019-08-14,11:05:18,Pomperaug,12.6,['Wet'],['Cloudy'],24.7,['Very low'],['None'],['Tea'],['Other'],21.2,99999,slight earthy smell,71.0,0.95,41.468681,-73.258058,4,4592251,645460,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
44,"['N-W-16335, Nonnewaug, Mill Rd - USGS Gauge, Woodbury']",['Regular sample'],2019-08-14,12:03:00,Nonnewaug,1.4,['Wet'],['Cloudy'],24.7,['Low'],['None'],['Clear'],['Fishing'],21.4,99999,,91.0,0.64,41.575249,-73.179866,4,4604218,651740,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
56,"['W-W-CHOH, Weekeepeemee, Chohees Trail,\tWoodbury']",['Regular sample'],2019-08-14,11:04:00,Weekeepeemee,4.26,['Wet'],['Cloudy'],24.7,['Low'],['None'],['Tea'],['Fishing'],21.7,9999,Water has light tea color,126.0,0.39,41.604553,-73.225085,4,4607393,647903,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
170,"['W-W-CHOH, Weekeepeemee, Chohees Trail,\tWoodbury']",['Regular sample'],2020-06-10,14:56:52,Weekeepeemee,12.0,['Dry'],['Sun with some clouds'],29.3,['Average'],['None'],['Clear'],['Fishing'],22.5,191.9,,145.0,0.33,41.604528,-73.225059,5,4607390,647905,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
176,"['P-S-15162, Pomperaug, Route 67 - Bennett Park, Southbury']",['Regular sample'],2020-06-10,12:28:28,Pomperaug,38.5,['Dry'],['Clouds with some sun'],28.8,['Average'],['None'],['Clear'],"['Fishing', 'Other']",21.0,191.0,dog park currently closed due to covid-19,52.0,0.64,41.500963,-73.21942,5,4595901,648612,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
167,"['P-S-18395, Pomperaug, The Gym - Flood Bridge Rd, Southbury']",['Regular sample'],2020-06-10,11:22:00,Pomperaug,38.5,['Dry'],['Clouds with some sun'],25.3,['Average'],['None'],['Clear'],['Fishing'],20.0,280,,72.0,0.81,41.464899,-73.232904,4,4591874,647569,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
166,"['P-S-15025, Pomperaug, Poverty Rd - Ewald Park - USGS Gauge, Southbury']",['Regular sample'],2020-06-10,11:54:00,Pomperaug,38.5,['Dry'],"['Sun with some clouds', 'Clouds with some sun']",25.8,['Low'],['None'],['Clear'],['Fishing'],19.5,273,mergansers upstream; fisherman downstream caught sucker and brown trout,125.0,0.83,41.481189,-73.225166,4,4593696,648178,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
165,"['P-S-OAKD, Pomperaug, Oakdale Manor, Southbury']",['Regular sample'],2020-06-23,09:51:06,Pomperaug,21,['Dry'],['Sun with some clouds'],27,['Low'],['Musky'],['Clear'],"['Boating', 'Fishing', 'Swimming']",25.1,339,"Abundant geese poop on road, no geese seen.
Slight musky odor.",25.0,0.75,41.443158,-73.254898,4,4589423,645781,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
163,"['P-S-18395, Pomperaug, The Gym - Flood Bridge Rd, Southbury']",['Regular sample'],2020-06-23,11:00:17,Pomperaug,21,['Dry'],['Sun with some clouds'],28.2,['Low'],['Musky'],['Clear'],['Fishing'],23.6,337,,84.0,0.91,41.464899,-73.232904,4,4591874,647569,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
162,"['P-S-15025, Pomperaug, Poverty Rd - Ewald Park - USGS Gauge, Southbury']",['Regular sample'],2020-06-23,11:32:26,Pomperaug,21,['Dry'],['Sun with some clouds'],28.7,['Low'],['None'],['Clear'],['Fishing'],22.7,287,,194.0,0.85,41.481189,-73.225166,4,4593696,648178,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
161,"['P-S-15162, Pomperaug, Route 67 - Bennett Park, Southbury']",['Regular sample'],2020-06-23,12:17:02,Pomperaug,21,['Dry'],['Sun with some clouds'],29.2,['Low'],['None'],['Clear'],"['Fishing', 'Other']",24.4,215,Dogs swimming,93.0,0.70,41.501073,-73.219212,4,4595914,648630,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
164,"['P-S-15388, Pomperaug, Bent of the River, Southbury']",['Regular sample'],2020-06-23,10:22:24,Pomperaug,21,['Dry'],['Sun with some clouds'],30,['Low'],['Musky'],['Clear'],['Other'],22.5,346,,147.0,0.90,41.468872,-73.258039,4,4592272,645461,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
159,"['P-W-15012, Pomperaug, Middle Quarter / South Pomperaug Ave, Woodbury']",['Regular sample'],2020-06-23,13:50:00,Pomperaug,21,['Dry'],['Sun with some clouds'],28.8,['Low'],['None'],"['Clear', 'Tea']",['Fishing'],25.0,209,Animal tracks and otter scat,81.0,0.77,41.521879,-73.205851,4,4598247,649697,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
160,"['P-S-15162, Pomperaug, Route 67 - Bennett Park, Southbury']",['Duplicate'],2020-06-23,12:24:00,Pomperaug,21,['Dry'],['Sun with some clouds'],29.2,['Low'],['None'],['Clear'],"['Fishing', 'Other']",24.4,215,Dogs swimming,64.0,0.70,41.501063,-73.219177,4,4595913,648632,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
158,"['N-W-14355, Nonnewaug, Rt 47 Bridge, Woodbury']",['Regular sample'],2020-06-24,09:27:49,Nonnewaug,3.52 @ 3:10PM,['Dry'],"['Clouds with some sun', 'Cloudy']",29.9,['Low'],['None'],['Clear'],['Fishing'],20.6,198.5,,185.0,1.05,41.557737,-73.212039,4,4602217,649098,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
157,"['N-W-14355, Nonnewaug, Rt 47 Bridge, Woodbury']",['Blank'],2020-06-24,09:33:56,Nonnewaug,3.52 @ 3:10PM,['Dry'],"['Clouds with some sun', 'Cloudy']",29.9,['Low'],['None'],['Clear'],['Fishing'],20.6,198.5,,0.0,ND,41.557737,-73.212039,4,4602217,649098,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
156,"['W-W-15530, Weekeepeemee, Jacks Bridge Rd, Woodbury']",['Regular sample'],2020-06-24,09:43:42,Weekeepeemee,7.94 @ 3:15PM,['Dry'],"['Clouds with some sun', 'Cloudy']",28.6,['Low'],['None'],['Clear'],['Fishing'],21.9,150.5,,308.0,0.47,41.5577,-73.215488,4,4602207,648810,18T,1,"('Boating', 'Fishing')"
155,"['W-W-16022, Weekeepeemee, Brushy Hill Rd, Woodbury']",['Regular sample'],2020-06-24,10:02:38,Weekeepeemee,7.94 @ 3:15PM,['Dry'],"['Clouds with some sun', 'Cloudy']",26.1,['Low'],['None'],['Clear'],['Fishing'],21.3,180.5,,59.0,0.34,41.585961,-73.230996,4,4605318,647453,18T,0,"('Swimming', 'Wading', 'Fishing', 'Boating')"
